City ID,city,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,country,Date
0,half moon bay,56.93,37.4636,-122.4286,84,75,13.8,US,1655119843
1,ribeira grande,66.6,38.5167,-28.7,82,40,16.11,PT,1655119764
2,husavik,53.55,66.0449,-17.3389,70,100,5.73,IS,1655120258
3,nikolskoye,68.88,59.7035,30.7861,48,48,7.02,RU,1655119773
4,aswan,106.9,24.0934,32.907,13,0,10.36,EG,1655120260
5,ranong,85.93,9.9658,98.6348,82,99,5.08,TH,1655120260
6,yagodnoye,46.65,62.55,149.6667,78,43,4.41,RU,1655120261
7,ponta do sol,74.71,32.6667,-17.1,70,53,4.81,PT,1655119762
8,iqaluit,33.53,63.7506,-68.5145,100,100,6.91,CA,1655119769
9,clyde river,34.03,70.4692,-68.5914,75,100,2.3,CA,1655119885
10,butaritari,81.84,3.0707,172.7902,70,48,10.96,KI,1655120264
11,saskylakh,69.57,71.9167,114.0833,25,1,7.16,RU,1655119987
12,hilo,77.29,19.7297,-155.09,85,0,8.05,US,1655119772
13,deputatskiy,60.15,69.3,139.9,39,3,10.69,RU,1655120266
14,cherskiy,60.82,68.75,161.3,33,76,6.93,RU,1655120267
15,college,49.59,64.8569,-147.8028,80,100,5.75,US,1655120073
16,sinnamary,79.65,5.3833,-52.95,80,19,5.28,GF,1655120269
17,nyurba,57.97,63.2842,118.3319,74,76,1.77,RU,1655120270
18,bonfim,74.3,3.0833,-59.95,90,98,2.86,BR,1655120270
19,taldan,59.4,53.6667,124.8,94,98,1.32,RU,1655120271
20,chokurdakh,64.29,70.6333,147.9167,30,3,11.39,RU,1655120272
21,manadhoo,83.21,5.7667,73.3833,76,79,10.85,MV,1655120273
22,severo-kurilsk,42.53,50.6789,156.125,92,72,11.12,RU,1655120273
23,mirnyy,63.73,62.5353,113.9611,46,83,5.77,RU,1655120274
24,barrow,28.42,71.2906,-156.7887,93,100,10.36,US,1655119770
25,basco,84.97,20.4487,121.9702,75,100,8.59,PH,1655120276
26,paamiut,35.62,61.994,-49.6678,78,55,29.46,GL,1655120277
27,khatanga,71.64,71.9667,102.5,30,100,4.27,RU,1655120277
28,ostrovnoy,54.72,68.0531,39.5131,82,100,8.84,RU,1655119753
29,peniche,82.45,39.3558,-9.3811,73,5,7.45,PT,1655120279
30,puerto el triunfo,75.76,13.2833,-88.55,90,100,4.07,SV,1655120280
31,ormara,83.88,25.2088,64.6357,79,0,13.73,PK,1655120280
32,fortuna,54.66,40.5982,-124.1573,90,100,10.36,US,1655119888
33,pierre,66.27,44.3683,-100.351,91,40,11.5,US,1655120171
34,lebrija,99.09,36.9208,-6.0753,15,20,3.44,ES,1655120282
35,farsund,54.95,58.0948,6.8047,100,72,21.92,NO,1655120283
36,dikson,30.67,73.5069,80.5464,88,100,14.61,RU,1655119755
37,mogadishu,87.67,2.0371,45.3438,66,40,19.57,SO,1655120285
38,roald,55.9,62.5833,6.1333,100,75,17.27,NO,1655120286
39,abonnema,85.64,4.7084,6.7931,65,100,8.84,NG,1655120287
40,high point,75.2,35.9557,-80.0053,89,20,4.61,US,1655120222
41,port hardy,48.2,50.6996,-127.4199,93,40,3.44,CA,1655120288
42,kapaa,74.12,22.0752,-159.319,93,100,13.8,US,1655120174
43,petropavlovsk-kamchatskiy,48.79,53.0452,158.6483,71,0,4.47,RU,1655120289
44,pacific grove,54.41,36.6177,-121.9166,87,75,17.0,US,1655119837
45,foshan,82.94,23.0268,113.1315,85,100,6.55,CN,1655120268
46,yellowknife,50.56,62.456,-114.3525,100,20,5.75,CA,1655119835
47,paluan,83.03,13.416,120.4623,74,100,2.33,PH,1655120293
48,upernavik,30.2,72.7868,-56.1549,88,100,6.62,GL,1655119971
49,bethel,68.36,41.3712,-73.414,97,93,1.99,US,1655119976
50,puerto ayora,70.56,-0.7393,-90.3518,94,93,1.01,EC,1655120295
51,pangnirtung,32.85,66.1451,-65.7125,86,87,1.74,CA,1655120296
52,georgetown,87.73,5.4112,100.3354,74,20,8.05,MY,1655119804
53,batagay-alyta,58.17,67.8006,130.4114,57,100,4.38,RU,1655120297
54,asyut,100.58,27.181,31.1837,19,0,13.87,EG,1655120298
55,saint george,82.99,37.1041,-113.5841,17,0,18.41,US,1655120298
56,fort morgan,71.02,40.2503,-103.8,48,0,8.05,US,1655120299
57,illela,101.8,13.7292,5.2975,26,22,13.33,NG,1655120300
58,zapolyarnyy,56.48,69.4154,30.8136,51,80,10.09,RU,1655120301
59,linfen,84.49,36.0889,111.5189,22,9,15.48,CN,1655120302
60,narsaq,41.22,60.9167,-46.05,67,49,2.77,GL,1655119969
61,qaanaaq,27.43,77.484,-69.3632,66,0,3.47,GL,1655120303
62,san patricio,82.29,28.017,-97.5169,87,3,11.34,US,1655120304
63,findochty,60.94,57.6974,-2.901,66,97,5.99,GB,1655120305
64,atasu,84.69,48.6814,71.6433,22,89,16.98,KZ,1655120305
65,lompoc,59.59,34.6391,-120.4579,90,100,18.41,US,1655119950
66,thompson,44.76,55.7435,-97.8558,100,40,2.3,CA,1655119892
67,zelenoborsk,56.3,61.4669,64.0333,60,100,11.68,RU,1655120308
68,provideniya,36.9,64.3833,-173.3,87,100,3.49,RU,1655120309
69,soligalich,71.67,59.0778,42.2864,36,82,7.31,RU,1655120310
70,egvekinot,34.5,66.3167,-179.1667,67,67,6.67,RU,1655120311
71,pafos,82.18,34.7667,32.4167,57,40,10.36,CY,1655120304
72,puerto baquerizo moreno,71.19,-0.9,-89.6,78,96,8.9,EC,1655120312
73,kodiak,51.31,57.79,-152.4072,76,75,9.22,US,1655120314
74,tiksi,43.3,71.6872,128.8694,67,71,6.93,RU,1655120314
75,iralaya,79.23,15.0,-83.2333,85,95,14.09,HN,1655120316
76,moura,89.71,38.1401,-7.4486,19,60,12.08,PT,1655120316
77,tasiilaq,34.75,65.6145,-37.6368,99,100,4.65,GL,1655119755
78,baruun-urt,59.11,46.6806,113.2792,71,62,10.27,MN,1655120318
79,longyearbyen,40.84,78.2186,15.6401,70,75,4.61,SJ,1655120319
