City ID,city,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,country,Date
0,torbay,6.05,47.6666,-52.7314,90,40,3.09,CA,1655103930
1,dikson,-0.76,73.5069,80.5464,90,100,7.62,RU,1655103996
2,clyde river,-2.21,70.4692,-68.5914,89,63,1.13,CA,1655104308
3,sitka,9.94,57.0531,-135.33,81,100,3.09,US,1655104203
4,butaritari,27.8,3.0707,172.7902,70,1,5.83,KI,1655104013
5,verkhnyaya toyma,19.97,62.2349,44.9985,40,100,3.15,RU,1655104593
6,thompson,11.82,55.7435,-97.8558,86,16,0.2,CA,1655103887
7,xiaoweizhai,20.72,26.1903,107.5125,97,100,1.17,CN,1655104595
8,dhidhdhoo,28.23,6.8833,73.1,77,100,4.58,MV,1655104596
9,provideniya,5.32,64.3833,-173.3,66,98,0.96,RU,1655104056
10,senj,25.37,44.9894,14.9058,50,0,1.59,HR,1655104597
11,khatanga,22.68,71.9667,102.5,27,100,3.8,RU,1655104064
12,ribeira grande,17.22,38.5167,-28.7,77,40,5.14,PT,1655104003
13,la ronge,13.14,55.1001,-105.2842,88,75,1.54,CA,1655104599
14,fallon,15.81,39.4735,-118.7774,48,0,6.87,US,1655104009
15,sabha,27.35,27.0377,14.4283,32,0,4.94,LY,1655104601
16,dalen,16.15,52.6992,6.7556,74,9,4.02,NL,1655104601
17,tura,27.52,25.5198,90.2201,88,100,2.98,IN,1655104055
18,virginia beach,23.33,36.8529,-75.978,93,75,3.09,US,1655104395
19,hobyo,29.62,5.3505,48.5268,61,54,11.06,SO,1655104163
20,bethel,19.64,41.3712,-73.414,96,100,0.94,US,1655104029
21,tromso,10.21,69.6496,18.957,76,75,3.09,NO,1655104169
22,deer lake,9.92,49.1667,-57.4316,76,100,2.57,CA,1655104605
23,half moon bay,15.18,37.4636,-122.4286,82,20,10.29,US,1655104395
24,forestville,22.8,38.8451,-76.875,96,20,2.57,US,1655104606
25,tiksi,7.74,71.6872,128.8694,63,38,2.81,RU,1655104070
26,kapaa,25.99,22.0752,-159.319,87,75,7.72,US,1655104323
27,panjab,21.85,34.388,67.0233,18,0,4.61,AF,1655104609
28,kodiak,13.73,57.79,-152.4072,62,0,2.57,US,1655104019
29,taoudenni,34.32,22.6783,-3.9836,24,99,1.02,ML,1655104055
30,kassala,34.78,15.451,36.4,33,92,6.56,SD,1655104611
31,muroto,21.84,33.2833,134.15,67,100,5.75,JP,1655104612
32,gazojak,32.27,41.1875,61.4036,15,5,2.14,TM,1655104612
33,hovd,30.78,48.0056,91.6419,16,98,3.84,MN,1655104567
34,qaanaaq,-5.42,77.484,-69.3632,69,0,2.03,GL,1655104614
35,katsuura,19.89,35.1333,140.3,67,100,6.54,JP,1655104018
36,inuvik,4.48,68.3499,-133.7218,81,75,3.09,CA,1655104615
37,shunyi,22.97,40.125,116.6453,68,20,3.0,CN,1655104616
38,severo-kurilsk,6.96,50.6789,156.125,87,55,4.6,RU,1655104034
39,anito,30.1,12.4497,125.2886,66,97,3.72,PH,1655104617
40,yellowknife,10.87,62.456,-114.3525,87,9,1.04,CA,1655103759
41,kavaratti,28.38,10.5669,72.642,75,100,7.19,IN,1655104079
42,grindavik,10.26,63.8424,-22.4338,100,100,5.66,IS,1655104620
43,goure,31.12,13.9835,10.2704,38,11,7.28,NE,1655104621
44,medea,26.43,36.2642,2.7539,15,100,1.2,DZ,1655104621
45,khor,24.45,47.8861,134.9464,59,64,2.54,RU,1655104622
46,abu samrah,25.19,35.3029,37.1841,46,0,9.99,SY,1655104624
47,cockburn town,26.57,21.4612,-71.1419,85,9,9.24,TC,1655104060
48,puerto asis,17.45,0.5133,-76.5007,97,100,0.98,CO,1655104625
49,gashua,29.8,12.871,11.0482,47,100,6.43,NG,1655104626
50,cayenne,23.38,4.9333,-52.3333,1,0,0.0,GF,1655104386
51,ilinskoye-khovanskoye,18.82,56.9718,39.7684,62,14,3.8,RU,1655104472
52,kahului,24.36,20.8947,-156.47,87,40,6.17,US,1655103853
53,pathein,28.06,16.7833,94.7333,81,100,2.32,MM,1655104629
54,inta,12.71,66.0317,60.1659,34,5,4.54,RU,1655104630
55,dudinka,22.63,69.4058,86.1778,35,99,4.73,RU,1655104631
56,gat,26.55,31.61,34.7642,100,65,5.23,IL,1655104632
57,hilo,25.71,19.7297,-155.09,86,0,3.6,US,1655104633
58,ahuimanu,25.84,21.4447,-157.8378,76,100,7.72,US,1655104634
59,kabugao,29.36,18.0217,121.1842,87,100,0.74,PH,1655104635
60,mandera,29.31,3.9366,41.867,51,99,8.54,KE,1655104636
61,hay river,7.82,60.8156,-115.7999,90,38,1.09,CA,1655104343
62,makakilo city,25.18,21.3469,-158.0858,68,100,7.72,US,1655104638
63,cabo san lucas,29.23,22.8909,-109.9124,69,7,5.51,MX,1655103786
64,noyabrsk,20.28,63.1994,75.4507,53,97,4.59,RU,1655104639
65,ponta do sol,20.56,32.6667,-17.1,75,38,0.41,PT,1655104640
66,barrow,-2.99,71.2906,-156.7887,93,100,3.09,US,1655104641
67,chara,20.91,56.9064,118.2631,31,62,1.63,RU,1655104641
68,bull savanna,24.58,17.8868,-77.5902,86,100,7.12,JM,1655104643
69,fortuna,13.14,40.5982,-124.1573,86,100,3.6,US,1655104103
70,puerto colombia,25.05,10.9878,-74.9547,77,74,2.18,CO,1655104321
71,norman wells,5.02,65.282,-126.8329,93,100,5.66,CA,1655104645
72,tazovskiy,17.74,67.4667,78.7,63,94,7.22,RU,1655104646
73,salalah,33.05,17.0151,54.0924,66,75,6.69,OM,1655104647
74,muyezerskiy,17.33,63.9333,31.65,56,12,3.62,RU,1655104647
75,aksarka,5.05,66.5606,67.7975,68,100,10.47,RU,1655104430
76,rajampet,36.68,14.1833,79.1667,31,100,6.17,IN,1655104649
77,bad hofgastein,17.0,47.1667,13.1,91,100,2.24,AT,1655104649
78,ketchikan,9.26,55.3422,-131.6461,87,100,0.0,US,1655104650
79,upernavik,-2.15,72.7868,-56.1549,96,100,1.66,GL,1655104057
80,tyup,22.87,42.7276,78.3648,49,13,1.75,KG,1655104652
81,husavik,8.86,66.0449,-17.3389,81,100,2.2,IS,1655104384
82,bubaque,26.58,11.2833,-15.8333,82,66,3.94,GW,1655104450
83,klyuchi,32.02,52.2667,79.1667,23,30,7.01,RU,1655104653
84,odweyne,27.16,9.4092,45.064,48,100,9.68,SO,1655104654
85,hofn,9.0,64.2539,-15.2082,91,100,3.73,IS,1655104415
86,san buenaventura,28.69,27.0833,-101.5333,38,5,1.86,MX,1655104656
87,spartanburg,25.24,34.9496,-81.9321,87,0,0.0,US,1655104656
88,san patricio,28.25,28.017,-97.5169,82,2,6.25,US,1655104657
89,nome,8.42,64.5011,-165.4064,76,100,3.6,US,1655104091
90,srednekolymsk,22.37,67.45,153.6833,25,8,7.03,RU,1655104076
91,barcelos,27.73,41.5388,-8.6151,68,2,0.56,PT,1655104659
92,altamont,4.91,42.2068,-121.7372,83,0,4.12,US,1655104660
93,turki,20.29,51.987,43.2731,51,0,2.61,RU,1655104660
94,hargeysa,27.53,9.56,44.065,41,100,11.83,SO,1655104662
95,bathsheba,27.34,13.2167,-59.5167,78,20,7.72,BB,1655104451
96,saskylakh,21.56,71.9167,114.0833,25,0,3.76,RU,1655104075
97,healdsburg,14.39,38.6105,-122.8692,50,5,2.7,US,1655104665
98,tasiilaq,2.09,65.6145,-37.6368,100,100,1.09,GL,1655104666
99,nikolskoye,19.37,59.7035,30.7861,58,62,3.0,RU,1655104667
100,longkou,24.06,37.6508,120.3286,64,65,4.09,CN,1655104668
101,loma bonita,24.32,8.3833,-80.1667,89,100,3.17,PA,1655104668
102,nanortalik,2.09,60.1432,-45.2371,86,41,8.5,GL,1655104325
103,sao filipe,22.65,14.8961,-24.4956,82,18,2.49,CV,1655104098
104,kumphawapi,37.12,17.1087,103.0149,99,99,2.89,TH,1655104672
105,lavrentiya,4.62,65.5833,-171.0,68,100,3.12,RU,1655104673
106,nantucket,18.34,41.2835,-70.0995,93,75,5.14,US,1655103850
107,marzuq,34.53,14.4,46.4667,10,100,1.12,YE,1655104078
108,rabo de peixe,16.27,37.8,-25.5833,97,40,4.63,PT,1655104675
109,matagami,11.06,49.7502,-77.6328,100,100,2.57,CA,1655104676
110,puerto ayora,21.97,-0.7393,-90.3518,92,86,3.05,EC,1655104314
111,batesville,28.3,35.7698,-91.641,87,0,6.17,US,1655104443
112,port-gentil,25.98,-0.7193,8.7815,94,75,1.54,GA,1655104678
113,yarada,36.18,17.65,83.2667,52,20,3.6,IN,1655104679
114,bekhtery,26.39,46.251,32.2927,48,13,7.87,UA,1655104679
115,leningradskiy,1.43,69.3833,178.4167,86,100,3.21,RU,1655104681
116,dingle,31.46,10.9995,122.6711,62,91,2.88,PH,1655104093
117,raudeberg,10.37,61.9875,5.1352,96,100,6.15,NO,1655104682
118,dong xoai,32.68,11.5333,106.9167,58,28,1.63,VN,1655104683
119,layton,21.2,41.0602,-111.971,58,20,6.69,US,1655104684
120,chokurdakh,21.98,70.6333,147.9167,17,6,4.96,RU,1655104684
121,pevek,4.13,69.7008,170.3133,67,92,5.03,RU,1655104297
122,abdanan,35.39,32.9926,47.4198,11,0,0.83,IR,1655104686
123,qasigiannguit,-0.86,68.8193,-51.1922,84,100,3.07,GL,1655104686
124,belaya gora,23.39,68.5333,146.4167,24,7,8.45,RU,1655104687
125,rock springs,21.69,41.5875,-109.2029,18,0,5.14,US,1655104688
126,akyab,30.33,20.15,92.9,69,97,3.98,MM,1655104690
127,coahuayana,26.08,18.7333,-103.6833,81,93,1.09,MX,1655104140
128,longyearbyen,3.91,78.2186,15.6401,87,75,2.06,SJ,1655104691
129,xuanwu,27.97,32.069,118.8138,40,100,2.2,CN,1655104692
